Context,Class,Termination,EdgeShape,Length,CortexPerc,Thickness,Width,CortexLoc,ScarNumber,Profile,CrossSection,PlatformType,DorsalPattern
VALM,Flake,Feathered,Irregular,49.09,25-75%,10.7,29.79,Distal,3,Irregular,Trapezoidal,Other,Unidentifiable
VALM,Flake,Feathered,Irregular,26.87,25-75%,8.55,17.32,Lateral,4,Twisted,Triangular,Other,Unidentifiable
VB B,Flake,Feathered,Irregular,19.78,75-95%,5.99,11.63,Lateral,2,Curved,Triangular,Cortical,Bidirectional
VB A,Flake,Feathered,Biconvex,25.77,75-95%,6.62,20.66,Lateral,3,Straight,Triangular,Cortical,Bidirectional
AMB II,Flake,Feathered,Divergent,23.18,25-75%,9.95,40.28,Proximal,2,Straight,Irregular,Cortical,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,22.2,25-75%,4.83,18.8,Distal,2,Straight,Triangular,Cortical,Bidirectional
VB C,Flake,Feathered,Parallel,20.77,25-75%,3.37,14.32,Lateral,2,Curved,Triangular,Cortical,Bidirectional
VB A,Flake,Feathered,Divergent,29.8,25-75%,6.7,20.62,Lateral,2,Curved,Triangular,Cortical,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,15.67,25-75%,4.9,17.16,Lateral,2,Straight,Triangular,Cortical,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,30.45,25-75%,15.65,34.39,Mesial,3,Straight,Triangular,Cortical,Bidirectional
VALM,Flake,Feathered,Divergent,33.22,25-75%,6.89,31.48,Lateral,3,Straight,Triangular,Cortical,Bidirectional
VALM,Flake,Feathered,Irregular,43.6,25-75%,18.16,43.17,Lateral,3,Straight,Triangular,Cortical,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Divergent,39.35,25-75%,9.87,21.55,Lateral,4,Curved,Trapezoidal,Cortical,Bidirectional
PAP 4'75-5'25,Flake,Feathered,Irregular,54.02,75-95%,6.52,41.69,Mesial,3,Curved,Lenticular,Other,Bidirectional
VB A,Flake,Feathered,Irregular,28.9,25-75%,7.27,18.17,Mesial,2,Curved,Trapezoidal,Other,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Other,16.22,25-75%,1.74,16.69,Mesial,2,Straight,Lenticular,Other,Bidirectional
VB B,Flake,Overpassed,Other,24.13,25-75%,5.76,19.49,Lateral,2,Curved,Triangular,Other,Bidirectional
AMB II,Flake,Feathered,Divergent,41.7,25-75%,5.95,26.55,Lateral,3,Twisted,Triangular,Other,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,19.78,25-75%,4.65,17.73,Lateral,3,Curved,Triangular,Other,Bidirectional
AMB IV,Flake,Feathered,Irregular,43.83,25-75%,5.53,24.52,Lateral/Distal,4,Curved,Trapezoidal,Other,Bidirectional
VB C,Flake,Feathered,Irregular,30.08,75-95%,10.12,22.4,Proximal,2,Straight,Irregular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Parallel,26.12,75-95%,5.11,13.03,Mesial,2,Straight,Triangular,Plain,Bidirectional
VALM,Flake,Feathered,Parallel,22.13,25-75%,4.45,19.49,Lateral/Proximal,2,Straight,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,25.74,25-75%,3.4,18.82,Lateral/Distal,2,Straight,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Irregular,20.12,25-75%,3.36,16.93,Proximal,2,Straight,Trapezoidal,Plain,Bidirectional
VB B,Flake,Feathered,Divergent,24.2,25-75%,3.88,12.28,Lateral/Proximal,2,Twisted,Triangular,Plain,Bidirectional
VB B,Flake,Feathered,Divergent,21.81,25-75%,8.21,26.21,Lateral/Proximal,2,Straight,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Parallel,30.87,25-75%,4.85,21.36,Lateral/Proximal,2,Straight,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Biconvex,21.22,25-75%,8.35,15.35,Lateral/Proximal,2,Straight,Triangular,Plain,Bidirectional
VB C,Flake,Feathered,Parallel,36.8,25-75%,7.83,21.21,Lateral/Distal,2,Straight,Triangular,Plain,Bidirectional
VB B,Flake,Feathered,Irregular,30.77,25-75%,4.92,35.07,Lateral,2,Straight,Triangular,Plain,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,17.63,25-75%,5.7,12.55,Lateral,2,Straight,Triangular,Plain,Bidirectional
PAP 5'25-6'25,Flake,Hinged,Divergent,16.35,25-75%,3.43,18.58,Lateral,2,Straight,Lenticular,Plain,Bidirectional
PAP 4'75-5'25,Flake,Feathered,Divergent,22.22,25-75%,3.72,21.26,Lateral,2,Straight,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Other,24.67,25-75%,8.61,26.87,Lateral,2,Irregular,Irregular,Plain,Bidirectional
VB B,Flake,Feathered,Irregular,34.48,25-75%,5.83,18.16,Proximal,3,Twisted,Triangular,Plain,Bidirectional
AMB VI,Flake,Feathered,Biconvex,46.59,25-75%,12.64,30.86,Lateral/Proximal,3,Curved,Trapezoidal,Plain,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,27.66,25-75%,5.49,15.96,Lateral/Proximal,3,Curved,Triangular,Plain,Bidirectional
PAP 5'25-6'25,Flake,Pointed,Parallel,33.71,25-75%,7.24,17.47,Lateral/Proximal,3,Straight,Irregular,Plain,Bidirectional
PAP 4'75-5'25,Flake,Feathered,Divergent,20.63,25-75%,4.53,19.41,Lateral/Mesial,3,Curved,Trapezoidal,Plain,Bidirectional
VB A,Flake,Feathered,Divergent,25.58,25-75%,5.53,22.57,Lateral,3,Curved,Irregular,Plain,Bidirectional
VALM,Flake,Feathered,Irregular,45.2,25-75%,11.34,46,Mesial,4,Irregular,Irregular,Plain,Bidirectional
VB C,Flake,Feathered,Irregular,43.02,25-75%,13.27,36.4,Mesial,4,Irregular,Triangular,Plain,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Biconvex,32.94,25-75%,7.14,22.61,Lateral/Proximal,4,Straight,Trapezoidal,Plain,Bidirectional
VALM,Flake,Feathered,Irregular,47.38,25-75%,10.03,31.49,Lateral,4,Curved,Trapezoidal,Plain,Bidirectional
VALM,Flake,Hinged,Divergent,44.2,25-75%,9.84,65.73,Lateral,4,Straight,Irregular,Plain,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,23.88,25-75%,6.51,17.2,Lateral,4,Irregular,Triangular,Plain,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Other,37.17,25-75%,7.46,16.33,Lateral/Proximal,2,Straight,Triangular,Plain,Bidirectional
PAP 4'75-5'25,Flake,Feathered,Parallel,28.02,25-75%,5.3,11.43,Lateral,2,Curved,Triangular,Plain,Bidirectional
AMB IV,Flake,Feathered,Parallel,51.15,25-75%,12.88,21,Lateral/Distal,3,Irregular,Trapezoidal,Plain,Bidirectional
VB A,Flake,Feathered,Parallel,43.36,25-75%,6.16,14.69,Lateral,3,Straight,Trapezoidal,Plain,Bidirectional
AMB IV,Flake,Feathered,Irregular,53.96,25-75%,10.23,25.85,Lateral,5,Twisted,Triangular,Plain,Bidirectional
AMB VI,Flake,Feathered,Parallel,51.21,25-75%,18.35,42.33,Lateral,2,Straight,Triangular,Faceted,Bidirectional
VB C,Flake,Pointed,Other,29.45,25-75%,9.98,16.12,Lateral/Proximal,3,Curved,Triangular,Faceted,Bidirectional
PAP 4'00-4'75,Flake,Feathered,Divergent,19.83,25-75%,5.79,19.04,Lateral/Distal,3,Curved,Triangular,Faceted,Bidirectional
AMB VI,Flake,Feathered,Parallel,54.9,25-75%,14.65,30.12,Lateral/Mesial,4,Curved,Trapezoidal,Faceted,Bidirectional
VB B,Flake,Feathered,Irregular,30.38,75-95%,7.42,25.33,NA,2,Twisted,Triangular,Other,Bidirectional
VB A,Flake,Feathered,Irregular,28.39,25-75%,4.82,14.45,Lateral/Proximal,2,Twisted,Triangular,Other,Bidirectional
VB C,Flake,Hinged,Parallel,35.64,25-75%,5.57,19.92,Lateral,2,Straight,Triangular,Other,Bidirectional
VB C,Flake,Feathered,Divergent,30.48,25-75%,3.18,15.57,Lateral,2,Straight,Trapezoidal,Other,Bidirectional
VALM,Flake,Hinged,Divergent,21.67,25-75%,5.24,31.46,Lateral,3,Irregular,Triangular,Other,Bidirectional
PAP 4'75-5'25,Flake,Hinged,Biconvex,21.04,25-75%,8.33,29.63,Lateral,3,Straight,Triangular,Other,Bidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,32.96,>95%,12.2,29.47,Proximal,2,Straight,Triangular,Cortical,Crossed
AMB IV,Flake,Feathered,Other,44.5,25-75%,11.17,25,Lateral/Proximal,2,Curved,Triangular,Cortical,Crossed
PAP 4'00-4'75,Flake,Pointed,Irregular,25.83,25-75%,3.73,17.29,Proximal,3,Curved,Irregular,Cortical,Crossed
PAP 4'00-4'75,Flake,Feathered,Irregular,30.44,25-75%,4.75,36.36,Lateral,4,Curved,Irregular,Cortical,Crossed
PAP 5'25-6'25,Flake,Feathered,Irregular,25.35,75-95%,5.9,19.78,Proximal,2,Curved,Trapezoidal,Other,Crossed
VALM,Flake,Feathered,Divergent,34.8,75-95%,9.29,29.55,NA,3,Curved,Trapezoidal,Other,Crossed
PAP 4'00-4'75,Flake,Feathered,Divergent,25.08,25-75%,5.04,19.27,Lateral/Mesial,3,Curved,Triangular,Other,Crossed
AMB VI,Flake,Feathered,Biconvex,30.38,25-75%,12.6,21.05,Lateral/Distal,3,Straight,Triangular,Other,Crossed
PAP 5'25-6'25,Flake,Feathered,Biconvex,20.41,25-75%,3.81,11.57,Lateral,3,Straight,Triangular,Other,Crossed
PAP 4'00-4'75,Flake,Feathered,Irregular,43.44,25-75%,8.15,29.07,Mesial,4,Curved,Triangular,Other,Crossed
VALM,Flake,Feathered,Irregular,37.45,25-75%,14.03,50.6,Proximal,2,Straight,Triangular,Plain,Crossed
AMB VI,Flake,Feathered,Irregular,34.44,25-75%,9.7,37.55,Distal,2,Straight,Triangular,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Parallel,22.83,25-75%,6.05,17.63,Distal,2,Straight,Triangular,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Divergent,16.98,25-75%,5.97,11.07,Distal,2,Straight,Triangular,Plain,Crossed
VB B,Flake,Feathered,Divergent,32.12,25-75%,10.43,18.78,Lateral/Distal,3,Straight,Triangular,Plain,Crossed
AMB II,Flake,Feathered,Irregular,29.92,25-75%,8.67,29.3,Distal,3,Straight,Irregular,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Divergent,29.71,25-75%,8.89,16.57,Lateral,4,Straight,Trapezoidal,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Parallel,23.84,25-75%,6.05,13.21,Lateral,4,Curved,Triangular,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Parallel,22.42,25-75%,3.65,14.99,Lateral,4,Straight,Irregular,Plain,Crossed
PAP 4'00-4'75,Flake,Feathered,Parallel,23.59,25-75%,8.34,16.82,Distal,4,Straight,Irregular,Plain,Crossed
VALM,Flake,Feathered,Irregular,33.33,25-75%,3.21,21.16,Lateral/Proximal,2,Straight,Triangular,Faceted,Crossed
VALM,Flake,Feathered,Divergent,43.19,25-75%,10.5,36.65,Distal,2,Twisted,Triangular,Faceted,Crossed
VB C,Flake,Feathered,Divergent,30.88,75-95%,6.11,30.03,Lateral,2,Curved,Trapezoidal,Other,Crossed
PAP 4'00-4'75,Flake,Feathered,Parallel,22.03,75-95%,5.05,20.45,Lateral,2,Irregular,Triangular,Other,Crossed
VB B,Flake,Feathered,Other,25.59,25-75%,10.01,22.34,Distal,2,Curved,Triangular,Other,Crossed
PAP 4'00-4'75,Flake,Feathered,Other,20.04,25-75%,5.06,19.01,Distal,2,Straight,Triangular,Other,Crossed
VALM,Flake,Feathered,Irregular,41.99,0%,4.85, ,NA,NA,Curved,Irregular,Faceted,Unidentifiable
VALM,Flake,Feathered,Other,24.58,0%,7.2, ,NA,NA,Twisted,NA,Plain,Unidentifiable
PAP 5'25-6'25,Flake,Feathered,Other,29.89,0%,4.14, ,NA,NA,Curved,Triangular,Other,Unidentifiable
PAP 5'25-6'25,Flake,Feathered,Other, ,0%,4.56, ,NA,NA,Straight,Irregular,Other,Unidentifiable
PAP 5'25-6'25,Flake,NA,Other, ,0%,3.15,16.39,NA,NA,NA,NA,Other,Unidentifiable
PAP 5'25-6'25,Flake,NA,Other, ,0%,4.72,11.84,NA,NA,NA,NA,Other,Unidentifiable
PAP 5'25-6'25,Flake,Feathered,Other,25.72,0%,3.85, ,NA,NA,Straight,Triangular,Other,Unidentifiable
PAP 4'75-5'25,Flake,Feathered,Irregular,25.02,0%,2.68, ,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VB C,Flake,Feathered,Other,26.49,0%,8.97, ,NA,1,Straight,NA,Plain,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Irregular,18.98,0%,1.93, ,NA,1,Straight,Irregular,Plain,Unidirectional
VALM,Flake,Feathered,Irregular,28.01,0%,5.42, ,NA,1,Straight,NA,Plain,Unidentifiable
VALM,Flake,Feathered,Divergent,27.61,0%,2.71, ,NA,2,Curved,NA,Plain,Unidirectional
VB C,Flake,Feathered,Irregular, ,0%,3.99,12.08,NA,2,Curved,Triangular,Other,Unidirectional
VB C,Flake,Feathered,Irregular, ,0%,6.5,23.23,NA,2,Straight,Irregular,Other,Unidirectional
VB B,Flake,Feathered,Parallel,27.71,0%,8.29, ,NA,2,Straight,Trapezoidal,Linear,Unidirectional
VB B,Flake,NA,Other, ,0%,2.59,12.5,NA,2,NA,Triangular,Plain,Unidirectional
VB B,Flake,NA,Divergent, ,0%,3.75,13.36,NA,2,Straight,Triangular,Plain,Unidirectional
VB B,Flake,NA,Parallel, ,0%,2.66,15.5,NA,2,Straight,Triangular,Plain,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Parallel,25.18,0%,4.86, ,NA,2,Straight,Triangular,Plain,Unidirectional
PAP 5'25-6'25,Flake,Feathered,Circular,13.39,0%,2.7, ,NA,2,Straight,Lenticular,Crushed,Unidentifiable
VB B,Flake,Hinged,Divergent, ,0%,2.13,10.27,NA,2,Curved,Triangular,Linear,Bidirectional
VALM,Flake,Feathered,Other,14.21,0%,3.59, ,NA,3,Straight,NA,Other,Unidirectional
VB C,Flake,Feathered,Parallel, ,0%,2.43,12.54,NA,3,Twisted,Trapezoidal,Other,Unidirectional
VB C,Flake,Feathered,Divergent,25.55,0%,2.13, ,NA,3,Straight,Lenticular,Plain,Unidirectional
VB B,Flake,Feathered,Convergent, ,0%,9.03,18.86,NA,3,Straight,Triangular,Other,Unidirectional
VALM,Flake,Feathered,Other,33.17,0%,3.29, ,NA,3,Straight,NA,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular, ,0%,17.25,31.48,NA,3,Straight,Trapezoidal,Plain,Unidentifiable
VB B,Flake,NA,Irregular, ,0%,2.74,14.02,NA,4,Straight,Irregular,Other,Unidirectional
VB A,Flake,Hinged,Divergent, ,0%,3.05,11.83,NA,4,Curved,Triangular,Plain,Unidirectional
VALM,Flake,Feathered,Irregular, ,0%,4.73,25.33,NA,4,Straight,Triangular,Other,Bidirectional
VB B,Flake,Pointed,Convergent,36.27,0%,9.23,19.94,NA,NA,Straight,Irregular,Faceted,Centripetal
VALM,Flake,Hinged,Irregular,49.96,0%,7.41,36.24,NA,NA,Twisted,Triangular,Other,Unidentifiable
VALM,Flake,Feathered,Irregular,29.03,0%,14.08,31.32,NA,NA,Straight,Irregular,Crushed,Unidentifiable
VALM,Flake,Feathered,Divergent,29.02,0%,12.24,31.56,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VALM,Flake,Feathered,Irregular,40.14,0%,10.16,36.27,NA,NA,Straight,Triangular,Cortical,Unidentifiable
VALM,Flake,Feathered,Circular,31.53,0%,7.66,34.91,NA,NA,Curved,Triangular,Crushed,Unidentifiable
VALM,Flake,Hinged,Irregular,26.25,0%,6.32,46.13,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VALM,Flake,Pointed,Irregular,23.78,0%,1.45,12.8,NA,NA,Curved,Lenticular,Plain,Unidentifiable
VALM,Flake,Feathered,Irregular,17.99,0%,3.34,18.75,NA,NA,Straight,Irregular,Plain,Unidentifiable
VALM,Flake,Feathered,Divergent,14.29,0%,3.2,23.18,NA,NA,Straight,Irregular,Plain,Unidentifiable
VALM,Flake,Feathered,Parallel,13.22,0%,0.9,8.73,NA,NA,Straight,Lenticular,Crushed,Unidentifiable
VALM,Flake,Feathered,Divergent,13.1,0%,3.78,20.93,NA,NA,Curved,Triangular,Crushed,Unidentifiable
VB C,Flake,Feathered,Irregular,26.51,0%,3.6,28.53,NA,NA,Straight,Irregular,Dihedral,Unidentifiable
VB C,Flake,Feathered,Irregular,76.17,0%,16.38,80.9,NA,NA,Straight,Trapezoidal,Other,Unidentifiable
VB C,Flake,Pointed,Convergent,39.76,0%,14.85,25.28,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB C,Flake,Feathered,Irregular,27.22,0%,3.68,18.92,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB C,Flake,Feathered,Parallel,26.44,0%,4.89,14.97,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB C,Flake,Pointed,Convergent,20.7,0%,3.99,19.62,NA,NA,Straight,Irregular,Dihedral,Unidentifiable
VB C,Flake,Feathered,Divergent,17.81,0%,7.22,19.08,NA,NA,Straight,Irregular,Linear,Unidentifiable
VB C,Flake,Feathered,Divergent,17.21,0%,4.85,18.28,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB C,Flake,Feathered,Divergent,16.59,0%,5.46,21.32,NA,NA,Straight,Triangular,Crushed,Unidentifiable
VB C,Flake,Feathered,Irregular,15.34,0%,2.89,15.41,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB C,Flake,Feathered,Convergent,14.7,0%,4.38,16.33,NA,NA,Straight,Triangular,Cortical,Unidentifiable
VB C,Flake,Feathered,Divergent,10.61,0%,1.61,12.3,NA,NA,Straight,Lenticular,Crushed,Unidentifiable
VB C,Flake,Feathered,Biconvex,32.44,0%,3.4,20.41,NA,NA,Curved,Irregular,Crushed,Unidentifiable
VB C,Flake,Feathered,Circular,24.13,0%,4.11,23.57,NA,NA,Curved,Lenticular,Plain,Unidentifiable
VB C,Flake,Feathered,Divergent,22.09,0%,8.17,39.52,NA,NA,Straight,Triangular,Cortical,Unidentifiable
VB C,Flake,Feathered,Irregular,19.32,0%,1.76,18.11,NA,NA,Straight,Lenticular,Other,Unidentifiable
VB C,Flake,Feathered,Irregular,16.06,0%,6.71,16.46,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB C,Flake,Feathered,Divergent,13.51,0%,3.45,16.15,NA,NA,Straight,Triangular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,32.12,0%,11.53,27.44,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,29.59,0%,3.68,21.09,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Biconvex,27.99,0%,5.39,18.31,NA,NA,Irregular,Irregular,Other,Unidentifiable
VB B,Flake,Feathered,Irregular,27.74,0%,4.15,22.65,NA,NA,Straight,Irregular,Other,Unidentifiable
VB B,Flake,Feathered,Circular,25.18,0%,8.25,24.88,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,63.48,0%,14.1,80.98,NA,NA,Straight,Triangular,Cortical,Unidentifiable
VB B,Flake,Feathered,Divergent,43.12,0%,19.85,47.54,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,42.32,0%,17.08,54.38,NA,NA,Irregular,Irregular,Cortical,Unidentifiable
VB B,Flake,Feathered,Irregular,39.95,0%,6.74,27.2,NA,NA,Straight,Irregular,Faceted,Unidentifiable
VB B,Flake,Feathered,Biconvex,39.52,0%,12.85,21.22,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VB B,Flake,Feathered,Irregular,38.43,0%,18.81,33.35,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,35.94,0%,19.39,41.42,NA,NA,Straight,Triangular,Plain,Unidentifiable
VB B,Flake,Feathered,Parallel,34.29,0%,19.61,29.74,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,31.09,0%,8.03,24.88,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,30.06,0%,12.75,28.28,NA,NA,Irregular,Irregular,Crushed,Unidentifiable
VB B,Flake,Feathered,Divergent,30.04,0%,3.83,20.92,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,26.99,0%,11.2,19.5,NA,NA,Irregular,Irregular,Cortical,Unidentifiable
VB B,Flake,Hinged,Irregular,26.78,0%,12.55,33.76,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,26.65,0%,12.91,39.29,NA,NA,Straight,Irregular,Other,Unidentifiable
VB B,Flake,Feathered,Convergent,26.58,0%,13.27,37.23,NA,NA,Straight,Triangular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,26.52,0%,2.01,13.85,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Parallel,26.35,0%,4.4,15.54,NA,NA,Curved,Irregular,Crushed,Unidentifiable
VB B,Flake,Feathered,Irregular,25.74,0%,4.72,23.87,NA,NA,Straight,Lenticular,Cortical,Unidentifiable
VB B,Flake,Feathered,Biconvex,24.39,0%,8.79,19.14,NA,NA,Straight,Irregular,Linear,Unidentifiable
VB B,Flake,Feathered,Irregular,23.08,0%,7.59,28.4,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,22.22,0%,7.62,18.01,NA,NA,Irregular,Irregular,Cortical,Unidentifiable
VB B,Flake,Feathered,Irregular,22,0%,11.88,32.74,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,21.96,0%,2.96,24.53,NA,NA,Straight,Lenticular,Linear,Unidentifiable
VB B,Flake,Feathered,Parallel,21.74,0%,3.81,14.54,NA,NA,Straight,Irregular,Linear,Unidentifiable
VB B,Flake,Feathered,Parallel,21.74,0%,6.18,15.07,NA,NA,Straight,Triangular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,21.65,0%,2.65,15.69,NA,NA,Straight,Irregular,Crushed,Unidentifiable
VB B,Flake,Feathered,Irregular,21.35,0%,4.23,28.53,NA,NA,Curved,Irregular,Crushed,Unidentifiable
VB B,Flake,Feathered,Biconvex,19.51,0%,2.12,13.64,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,19.45,0%,6.75,17.29,NA,NA,Straight,Irregular,Other,Unidentifiable
VB B,Flake,Feathered,Divergent,18.45,0%,3.79,29.06,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,18.35,0%,2.55,13.46,NA,NA,Curved,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,18.25,0%,5.82,17.88,NA,NA,Irregular,Irregular,Crushed,Unidentifiable
VB B,Flake,Feathered,Irregular,18.22,0%,5.48,24.77,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,18,0%,4.17,16.2,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,17.21,0%,2.65,18.08,NA,NA,Straight,Irregular,Other,Unidentifiable
VB B,Flake,Feathered,Irregular,17.18,0%,4.15,17.69,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,16.94,0%,4.11,16.85,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Divergent,16.3,0%,5.03,22.23,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,15.99,0%,5.35,18.14,NA,NA,Straight,Irregular,Dihedral,Unidentifiable
VB B,Flake,Feathered,Irregular,15.73,0%,5.08,22.77,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,14.95,0%,4.68,18.42,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,14.57,0%,3.45,21.24,NA,NA,Straight,Lenticular,Crushed,Unidentifiable
VB B,Flake,Feathered,Divergent,14.01,0%,4.19,13.25,NA,NA,Straight,Triangular,Plain,Unidentifiable
VB B,Flake,Feathered,Irregular,13.49,0%,1.5,16.36,NA,NA,Straight,Lenticular,Plain,Unidentifiable
VB B,Flake,Feathered,Circular,11.48,0%,1.3,17.96,NA,NA,Curved,Irregular,Plain,Unidentifiable
VB B,Flake,Feathered,Other,11,0%,4.12,19.51,NA,NA,Irregular,Irregular,Linear,Unidentifiable
VB B,Flake,Feathered,Irregular,35.22,0%,17.85,44.95,NA,NA,Straight,Triangular,Cortical,Unidentifiable
VB A,Flake,Feathered,Divergent,52.08,0%,19.32,42.63,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VB A,Flake,Feathered,Irregular,32.13,0%,15.03,27.19,NA,NA,Irregular,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Parallel,25.06,0%,11.12,19.02,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Irregular,24.2,0%,6.43,15.35,NA,NA,Irregular,Irregular,Other,Unidentifiable
VB A,Flake,Feathered,Biconvex,23.27,0%,9.14,30.38,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Irregular,22.57,0%,14.45,24.2,NA,NA,Straight,Irregular,Cortical,Unidentifiable
VB A,Flake,Feathered,Irregular,21.84,0%,4.44,16.48,NA,NA,Straight,Irregular,Crushed,Unidentifiable
VB A,Flake,Hinged,Irregular,19.48,0%,4.03,19.42,NA,NA,Straight,Irregular,Other,Unidentifiable
VB A,Flake,Hinged,Divergent,18.72,0%,2.81,16.77,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Convergent,18.59,0%,6.21,18.48,NA,NA,Twisted,Triangular,Plain,Unidentifiable
VB A,Flake,Feathered,Divergent,18.56,0%,2.08,12.13,NA,NA,Twisted,Irregular,Linear,Unidentifiable
VB A,Flake,Feathered,Irregular,18.37,0%,1.65,12.26,NA,NA,Twisted,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Irregular,18.13,0%,2.33,15.9,NA,NA,Curved,Irregular,Other,Unidentifiable
VB A,Flake,Feathered,Irregular,17.69,0%,5.52,29.34,NA,NA,Straight,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Divergent,15.91,0%,3.53,20.97,NA,NA,Straight,Irregular,Crushed,Unidentifiable
VB A,Flake,Feathered,Irregular,15.84,0%,2.21,16.65,NA,NA,Curved,Lenticular,Linear,Unidentifiable
VB A,Flake,Feathered,Irregular,14.35,0%,3.95,14.09,NA,NA,Straight,Irregular,Dihedral,Unidentifiable
VB A,Flake,Feathered,Biconvex,13.35,0%,1.55,11.78,NA,NA,Curved,Irregular,Plain,Unidentifiable
VB A,Flake,Feathered,Irregular,18.62,0%,4.91,21.73,NA,NA,Straight,Irregular,Plain,Bidirectional
VALM,Flake,Feathered,Biconvex,33.88,0%,5.39,19.72,NA,NA,Irregular,Irregular,Crushed,Crossed
PAP 4'75-5'25,Flake,Feathered,Other,18.42,0%,3.83,28.64,NA,NA,Straight,Lenticular,Plain,Unidirectional
